fcpu,fgpu,cpu_uti,gpu_uti,mem_uti,cpu_temp,gpu_temp,inference_time,total_time,fps,VDD_IN
345600,114750000,70.4,56.0,5.1,33.1,31.4,28.537,48.658,26.42,3095
499200,114750000,65.2,65.8,5.6,33.6,31.8,28.544,42.292,26.38,3191
652800,114750000,56.0,68.9,5.9,34.0,32.1,28.514,39.298,26.45,3270
806400,114750000,53.0,71.7,6.1,34.2,32.4,28.305,37.640,26.63,3329
960000,114750000,53.9,75.5,6.2,34.3,32.4,28.195,36.576,26.74,3372
1113600,114750000,52.8,76.3,6.4,34.4,32.7,28.003,35.516,26.91,3415
1267200,114750000,45.1,79.2,6.5,34.6,32.9,28.080,35.017,26.80,3467
1420800,114750000,48.3,80.3,6.5,34.8,33.0,27.994,34.367,26.87,3533
1574400,114750000,35.7,80.1,6.6,34.9,33.2,28.066,33.936,26.83,3587
1728000,114750000,35.0,83.5,6.7,35.0,33.3,28.017,33.503,26.87,3676
1881600,114750000,33.6,82.3,6.7,35.2,33.4,28.074,33.226,26.82,3798
2035200,114750000,36.9,81.8,6.8,35.4,33.6,28.018,32.982,26.90,3909
345600,216750000,69.5,34.6,5.9,34.7,32.9,15.233,34.793,49.70,3140
499200,216750000,75.5,46.8,7.2,34.7,33.0,14.157,27.852,53.61,3368
652800,216750000,65.7,54.9,7.9,34.6,33.0,15.166,25.831,49.85,3479
806400,216750000,62.4,59.5,8.4,34.6,33.1,14.986,23.760,50.46,3589
960000,216750000,56.6,63.0,8.8,34.7,33.2,14.853,22.405,50.83,3662
1113600,216750000,58.4,66.0,9.1,34.8,33.2,14.763,21.425,51.21,3745
1267200,216750000,60.0,65.5,9.3,34.8,33.3,14.719,20.806,51.38,3834
1420800,216750000,58.7,66.8,9.5,35.0,33.5,14.666,20.270,51.47,3920
1574400,216750000,58.1,67.9,9.7,35.3,33.6,14.663,19.872,51.52,4064
1728000,216750000,57.0,68.7,9.8,35.4,33.8,14.621,19.581,51.68,4198
1881600,216750000,51.4,71.5,9.8,35.6,34.0,14.585,19.360,51.67,4329
2035200,216750000,52.4,71.9,10.1,35.9,34.2,14.602,19.084,51.66,4563
345600,318750000,71.3,31.0,6.1,35.0,33.4,13.513,32.714,56.28,3118
499200,318750000,77.6,36.4,7.5,34.7,33.1,12.847,26.339,59.24,3347
652800,318750000,64.8,48.5,8.4,34.8,33.1,12.740,23.287,59.72,3525
806400,318750000,60.0,47.3,9.0,34.8,33.2,12.740,21.471,59.88,3638
960000,318750000,67.1,37.2,9.5,34.9,33.3,12.704,20.228,59.98,3742
1113600,318750000,60.6,55.5,9.8,35.0,33.4,12.697,19.278,59.96,3831
1267200,318750000,66.1,53.8,10.0,35.0,33.6,12.674,18.693,60.03,3940
1420800,318750000,54.0,42.0,10.2,35.3,33.7,12.665,18.211,59.98,4023
1574400,318750000,61.0,43.8,10.5,35.4,33.9,12.661,17.676,59.99,4214
1728000,318750000,59.1,42.5,10.6,35.7,34.1,12.655,17.347,59.87,4314
1881600,318750000,54.4,59.7,10.8,35.8,34.5,12.650,17.038,59.75,4469
2035200,318750000,49.2,59.0,11.0,36.2,34.6,12.647,16.799,59.71,4721
345600,420750000,73.9,19.0,6.0,35.2,33.6,13.406,32.694,56.68,3100
499200,420750000,70.5,25.6,7.3,34.9,33.3,12.901,26.338,59.09,3335
652800,420750000,71.3,26.7,8.2,34.9,33.2,12.760,23.359,59.58,3509
806400,420750000,66.5,42.4,8.8,34.9,33.3,12.738,21.434,59.77,3624
960000,420750000,62.1,29.7,9.3,35.0,33.3,12.685,20.110,60.04,3715
1113600,420750000,68.1,32.4,10.0,35.2,33.5,12.765,19.501,59.42,4024
1267200,420750000,57.7,31.9,10.2,35.5,33.7,12.776,18.783,59.64,4123
1420800,420750000,61.4,35.8,10.3,35.6,33.9,12.735,18.317,59.75,4201
1574400,420750000,64.4,35.0,10.5,36.0,34.2,12.715,17.813,59.97,4377
1728000,420750000,58.5,53.5,10.6,36.1,34.3,12.646,17.307,59.84,4286
1881600,420750000,58.9,56.9,10.8,36.2,34.5,12.652,17.038,59.79,4479
2035200,420750000,55.9,32.6,10.9,36.4,34.7,12.632,16.752,59.73,4722
345600,522750000,70.6,18.5,5.9,35.3,33.6,13.525,32.713,56.40,3109
499200,522750000,70.9,22.9,7.3,35.1,33.4,12.862,26.325,59.20,3341
652800,522750000,59.0,32.1,8.2,35.0,33.2,12.736,23.291,59.76,3505
806400,522750000,72.3,28.6,8.8,35.1,33.3,12.702,21.420,60.04,3624
960000,522750000,56.5,41.4,9.3,35.2,33.4,12.680,20.152,60.03,3707
1113600,522750000,63.7,27.8,9.6,35.2,33.4,12.685,19.277,60.05,3773
1267200,522750000,63.6,41.5,9.9,35.3,33.7,12.694,18.635,59.99,3891
1420800,522750000,56.5,41.8,10.2,35.4,33.7,12.677,18.159,60.03,4020
1574400,522750000,56.8,24.3,10.5,35.6,33.9,12.655,17.686,60.05,4167
1728000,522750000,56.0,30.8,10.5,35.7,34.1,12.660,17.349,59.91,4286
1881600,522750000,55.6,34.3,10.7,36.0,34.3,12.653,16.968,59.73,4479
2035200,522750000,56.1,25.5,10.9,36.3,34.6,12.631,16.736,59.70,4679
345600,624750000,83.3,13.3,5.9,35.2,33.5,13.459,32.569,56.63,3108
499200,624750000,72.5,17.7,7.2,34.9,33.3,12.841,26.329,59.24,3335
652800,624750000,70.9,16.7,8.2,34.9,33.1,12.737,23.224,59.71,3487
806400,624750000,71.0,17.3,8.8,34.9,33.2,12.729,21.351,59.79,3605
