fcpu,fgpu,cpu_uti,gpu_uti,mem_uti,cpu_temp,gpu_temp,inference_time,total_time,fps,VDD_IN
345600,114750000,92.4,48.8,4.3,32.4,30.9,53.879,76.617,15.98,3158
499200,114750000,80.1,59.4,4.7,33.3,31.5,47.97,63.888,17.06,3346
652800,114750000,76.8,65.3,5.2,33.6,31.9,46.458,58.725,17.24,3512
806400,114750000,71.9,68.4,5.4,33.8,32,45.757,56.259,17.37,3578
960000,114750000,67.7,70.6,5.6,33.9,32.1,45.212,54.443,17.48,3629
1113600,114750000,64,72.1,5.7,34.1,32.3,44.608,52.857,17.59,3685
1267200,114750000,62.5,74.5,5.8,34.3,32.6,44.295,51.779,17.67,3789
1420800,114750000,65,74.5,5.9,34.7,32.8,43.967,51.029,17.77,3910
1574400,114750000,62.5,78.9,6,35,33.2,43.696,50.152,17.77,4029
1728000,114750000,60,76.2,6,35.3,33.5,43.477,49.439,17.84,4173
1881600,114750000,57.7,80.8,6.1,35.5,33.8,43.247,48.847,17.93,4296
2035200,114750000,54.8,80.2,6.1,36,34.2,43.096,48.436,17.99,4474
345600,216750000,91.1,29.1,4.8,34.6,33.1,33.491,55.229,26.06,3213
499200,216750000,88.2,39.6,5.7,34.1,32.6,29.625,44.827,28.76,3436
652800,216750000,79.5,48.5,6.7,34.1,32.5,27.56,39.468,30.18,3656
806400,216750000,75.1,53.7,7.2,34.2,32.7,26.285,36.048,30.98,3784
960000,216750000,70.9,55.3,7.6,34.4,32.9,25.737,34.11,31.63,3872
1113600,216750000,67,59.8,7.9,34.6,33.1,25.09,32.44,32.08,3960
1267200,216750000,67.8,62,8.1,34.8,33.2,24.832,31.563,32.3,4082
1420800,216750000,68.1,62.7,8.3,35,33.5,24.626,30.773,32.51,4209
1574400,216750000,65,63.5,8.5,35.3,33.7,24.482,30.155,32.6,4378
1728000,216750000,65.7,65.9,8.6,35.6,33.9,24.29,29.657,32.73,4550
1881600,216750000,59.6,66.4,8.7,36.1,34.2,24.183,29.359,32.76,4762
2035200,216750000,58.8,65.5,8.8,36.4,34.7,24.083,28.952,32.78,4992
345600,318750000,92.2,24,5.1,34.8,33.3,26.616,48.15,34.17,3207
499200,318750000,88.1,32.9,6.4,34.3,32.9,22.795,37.83,38.45,3499
652800,318750000,80.4,35.7,7.4,34.3,32.8,20.753,32.574,40.82,3720
806400,318750000,73.5,43.4,8.2,34.4,32.9,20.151,29.908,42.55,3865
960000,318750000,69.4,44.2,8.7,34.6,33.1,19.401,27.706,43.11,3998
1113600,318750000,57.7,47.6,9.2,34.8,33.2,18.899,26.228,44.25,4030
1267200,318750000,69.6,52.2,9.5,35,33.5,18.558,25.184,43.94,4287
1420800,318750000,71.1,50.6,9.7,35.3,33.7,18.34,24.415,44.58,4462
1574400,318750000,66.2,56.1,10.1,35.5,34,18.05,23.622,45.04,4644
1728000,318750000,62.9,57.2,10.2,35.9,34.5,17.821,23.017,45.23,4812
1881600,318750000,60.5,55.5,10.4,36.5,34.8,17.716,22.618,45.39,5084
2035200,318750000,60.4,59.1,10.7,36.8,35.3,17.57,22.151,45.77,5398
345600,420750000,91,20.3,5.5,35.1,33.7,24.025,45.614,39.8,3254
499200,420750000,88.1,25.9,6.5,34.5,33,19.572,34.705,47.67,3480
652800,420750000,80.7,32.5,8.1,34.4,32.9,17.666,29.472,51.23,3780
806400,420750000,78.8,39.9,9,34.6,33.1,16.459,26.213,53.1,3980
960000,420750000,74,40.5,9.6,34.6,33.2,15.742,24.074,54.7,4104
1113600,420750000,71.4,42.1,10.1,34.8,33.5,15.223,22.531,55.84,4200
