fcpu,fgpu,cpu_uti,gpu_uti,mem_uti,cpu_temp,gpu_temp,inference_time,total_time,fps,VDD_IN
345600,114750000,68.6,54.1,7.3,31.4,29.9,30.328,48.329,26.46,3338
499200,114750000,55.3,65.6,8.1,32.2,30.6,29.794,42.242,26.18,3414
652800,114750000,56.5,69.1,8.5,32.7,31.0,29.522,39.176,26.20,3485
806400,114750000,57.5,73.4,8.9,32.9,31.3,29.164,37.520,26.41,3556
960000,114750000,52.9,75.5,9.1,33.0,31.5,29.040,36.576,26.48,3608
1113600,114750000,54.2,78.5,9.3,33.2,31.7,28.886,35.535,26.60,3660
1267200,114750000,49.1,78.3,9.5,33.4,31.9,28.918,35.030,26.47,3721
1420800,114750000,41.1,78.1,9.6,33.6,32.1,28.812,34.532,26.51,3792
1574400,114750000,39.9,82.1,9.7,33.8,32.2,28.915,34.290,26.49,3887
1728000,114750000,38.6,80.4,9.8,34.0,32.3,28.739,33.644,26.61,3996
1881600,114750000,41.3,81.5,10.0,34.3,32.6,28.914,33.554,26.48,4253
2035200,114750000,60.3,82.7,10.1,35.3,33.4,29.225,33.751,26.07,4789
345600,216750000,82.9,40.3,9.0,34.1,32.6,15.998,33.489,51.46,3388
499200,216750000,68.1,46.8,10.7,33.8,32.3,15.985,28.118,50.19,3632
652800,216750000,57.3,56.9,11.8,33.6,32.2,15.936,25.498,49.60,3814
806400,216750000,63.5,58.4,12.6,33.9,32.4,15.666,23.541,50.18,3957
960000,216750000,65.4,61.8,13.3,34.0,32.5,15.601,22.366,50.29,4062
1113600,216750000,56.6,64.8,13.8,34.3,32.7,15.456,21.372,50.50,4151
1267200,216750000,62.1,67.7,14.2,34.3,32.8,15.373,20.777,50.60,4282
1420800,216750000,64.6,67.2,14.5,34.5,33.0,15.436,20.367,50.67,4411
1574400,216750000,54.8,69.1,14.8,34.6,33.1,15.286,19.891,50.80,4557
1728000,216750000,55.5,69.4,14.9,34.9,33.3,15.241,19.587,50.86,4670
1881600,216750000,38.9,69.0,15.1,35.0,33.5,15.267,19.543,51.01,4826
2035200,216750000,55.3,71.6,15.4,35.2,33.8,15.147,19.122,51.12,5031
345600,318750000,72.4,28.5,9.0,34.2,32.8,15.183,32.515,54.61,3371
499200,318750000,73.3,33.1,11.1,33.9,32.4,14.114,26.331,58.36,3671
652800,318750000,78.0,40.9,12.7,33.8,32.5,13.558,22.989,59.36,3912
806400,318750000,69.8,32.0,13.6,34.0,32.6,13.413,21.136,59.72,4073
960000,318750000,62.1,45.4,14.5,34.1,32.6,13.284,19.934,59.85,4205
1113600,318750000,60.8,50.8,15.0,34.2,32.8,13.232,19.138,59.76,4300
1267200,318750000,58.0,42.5,15.5,34.5,33.0,13.198,18.512,59.92,4418
1420800,318750000,64.7,43.3,15.9,34.6,33.1,13.149,17.977,59.93,4544
1574400,318750000,53.9,55.8,16.1,34.8,33.4,13.113,17.614,59.93,4672
1728000,318750000,59.7,51.0,16.4,35.1,33.7,13.067,17.219,59.90,4862
1881600,318750000,55.6,65.3,16.8,35.4,34.0,13.089,16.962,59.87,5099
2035200,318750000,56.7,54.9,16.9,35.8,34.4,13.060,16.719,60.03,5288
345600,420750000,73.0,20.8,8.9,34.5,33.2,15.364,32.612,53.85,3378
499200,420750000,78.8,25.3,11.1,34.2,32.8,13.827,25.866,58.33,3683
652800,420750000,67.2,38.3,12.5,34.2,32.8,13.508,22.885,59.60,3882
806400,420750000,61.4,24.9,13.5,34.2,32.8,13.558,21.277,59.58,4024
960000,420750000,56.7,21.8,14.3,34.3,33.0,13.254,19.895,59.93,4147
1113600,420750000,61.1,31.9,14.9,34.5,33.0,13.224,19.066,59.83,4273
1267200,420750000,62.0,47.9,15.3,34.7,33.2,13.187,18.483,59.93,4391
1420800,420750000,60.6,56.8,15.6,34.9,33.4,13.106,17.930,60.00,4497
1574400,420750000,53.7,33.5,16.0,35.1,33.5,13.092,17.513,60.03,4660
1728000,420750000,57.8,52.4,16.3,35.2,33.8,13.077,17.175,60.05,4830
1881600,420750000,54.1,54.3,16.6,35.5,34.1,13.056,16.962,60.03,5061
2035200,420750000,58.2,29.9,16.7,35.8,34.3,13.024,16.659,59.91,5253
345600,522750000,84.3,17.6,8.9,34.6,33.1,15.050,32.191,55.14,3355
499200,522750000,75.3,24.4,11.0,34.3,32.8,13.813,25.875,59.12,3664
652800,522750000,72.0,30.2,12.4,34.2,32.8,13.550,22.865,59.55,3875
806400,522750000,70.9,23.3,13.4,34.4,32.8,13.398,21.107,59.52,4047
960000,522750000,70.7,21.2,14.2,34.5,32.9,13.270,19.912,59.87,4151
1113600,522750000,72.8,42.6,14.7,34.5,33.1,13.252,19.054,59.82,4269
1267200,522750000,64.2,42.3,15.1,34.7,33.2,13.177,18.472,59.93,4345
1420800,522750000,54.8,32.0,15.5,34.7,33.3,13.118,17.974,59.90,4513
1574400,522750000,50.3,23.0,15.9,35.0,33.5,13.170,17.612,59.93,4665
1728000,522750000,50.8,49.9,16.2,35.2,33.7,13.082,17.175,60.07,4814
1881600,522750000,61.7,49.2,16.5,35.5,34.1,13.068,16.893,59.98,5045
2035200,522750000,56.9,47.3,16.9,35.9,34.5,13.018,16.610,59.85,5331
345600,624750000,81.3,11.6,8.9,34.6,33.3,14.956,32.248,55.43,3364
499200,624750000,75.2,20.0,10.9,34.4,32.9,13.866,25.998,58.21,3680
652800,624750000,64.7,16.9,12.4,34.4,33.0,13.551,22.917,59.39,3875
806400,624750000,54.0,29.2,13.4,34.5,32.9,13.395,21.156,59.63,4044
960000,624750000,68.8,18.7,14.1,34.6,33.1,13.365,20.014,59.79,4148
1113600,624750000,65.9,32.7,14.7,34.6,33.2,13.215,19.079,59.83,4281
1267200,624750000,65.0,39.2,15.2,34.8,33.3,13.143,18.446,59.93,4397
1420800,624750000,63.2,35.9,15.4,35.0,33.5,13.155,17.963,59.93,4511
1574400,624750000,45.1,36.4,15.9,35.1,33.8,13.091,17.499,60.03,4674
1728000,624750000,57.4,23.3,16.1,35.3,33.9,13.163,17.260,59.89,4866
1881600,624750000,60.2,20.4,16.4,35.6,34.2,13.058,16.880,60.02,5087
2035200,624750000,53.9,14.9,16.6,36.0,34.5,13.030,16.628,59.90,5305
345600,726750000,72.2,12.3,8.8,34.8,33.4,15.188,32.357,54.89,3362
499200,726750000,71.3,20.3,10.9,34.4,33.0,13.845,25.990,58.85,3678
652800,726750000,58.3,24.3,12.2,34.4,33.0,13.726,23.206,59.24,3871
806400,726750000,69.6,24.4,13.3,34.5,33.0,13.443,21.156,59.76,4031
960000,726750000,70.1,28.3,14.1,34.5,33.1,13.283,19.879,59.78,4182
1113600,726750000,58.4,37.3,14.5,34.7,33.2,13.317,19.204,59.84,4250
1267200,726750000,62.2,31.5,15.0,34.7,33.3,13.195,18.441,59.90,4376
1420800,726750000,58.8,30.0,15.6,34.9,33.5,13.104,17.915,59.95,4596
1574400,726750000,56.4,37.7,15.8,35.2,33.8,13.071,17.530,60.02,4697
1728000,726750000,49.5,13.0,16.1,35.4,33.9,13.072,17.165,60.03,4846
1881600,726750000,59.6,38.9,16.4,35.6,34.2,13.068,16.867,59.96,5104
2035200,726750000,52.7,19.9,16.5,36.0,34.6,13.042,16.659,59.90,5322
345600,828750000,84.4,12.2,8.8,34.9,33.5,15.328,32.505,54.65,3427
499200,828750000,74.1,14.7,10.9,34.6,33.2,13.796,25.913,58.87,3741
652800,828750000,66.8,15.3,12.4,34.6,33.2,13.503,22.960,59.43,3966
806400,828750000,69.2,13.7,13.4,34.7,33.3,13.391,21.115,59.60,4131
960000,828750000,56.7,18.7,14.1,34.7,33.4,13.264,19.859,59.94,4214
