fcpu_ghz,fgpu_ghz,total_time,T_hat,rel_err,x_cpu,x_gpu
2.0352,0.11475,21.184,16.241078130652294,0.23333279217086983,1.0,11.333333333333332
1.8816,0.11475,21.499,16.498876223748965,0.2325747139983736,1.0816326530612246,11.333333333333332
1.5744,0.11475,22.188,17.165378610779385,0.226366567028151,1.2926829268292683,11.333333333333332
1.728,0.11475,21.669,16.802505088951712,0.22458327154221647,1.1777777777777778,11.333333333333332
1.2672,0.11475,23.231,18.155033670309397,0.21849969134736363,1.606060606060606,11.333333333333332
1.4208,0.11475,22.518,17.606711272461688,0.21810501498971102,1.4324324324324325,11.333333333333332
1.1136,0.11475,24.049,18.85461741928751,0.215991624629402,1.827586206896552,11.333333333333332
0.96,0.11475,25.177,19.778067967938618,0.21443905278871117,2.12,11.333333333333332
0.8064,0.11475,25.939,21.05330920179015,0.1883530898727727,2.5238095238095237,11.333333333333332
0.3456,0.11475,38.049,31.68031948388625,0.16738102226375853,5.888888888888889,11.333333333333332
